"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"103160253",62.8304553461346,0.695705769814827,0.283486944196896,6.12298919907869,0.0133434976510729,0.051697415947125
"103160255",2.12226089783788,-6.58526003805818,1.39355142196968,20.0431676300779,7.57135555578305e-06,0.000512508662978362
"103160262",150.503962518138,-0.377447302776487,0.191164566366284,3.83968335139593,0.0500529731670232,0.119801803568604
"103160265",1.1005916756816,1.50867887824221,1.22276057921248,1.57037591887752,0.210152429579167,0.316827209127812
"103160266",4.09879213536246,1.16344821386952,1.498821549414,0.610587391954084,0.434566732387991,0.536462535900589
"103160268",288.861011912278,1.29537334944821,0.457550089187478,8.14679941346685,0.00431372288931771,0.0258540474267541
"103160286",135.279877603847,1.50927547308941,0.528504953519345,8.2575515088422,0.00405828270906161,0.0247590080297471
"103160295",54.7501549946918,1.20553365591595,0.404375952054635,9.03963599577952,0.00264188236420593,0.0189286077657194
"103160299",40.1706795586765,0.56409460773773,0.217628101958333,6.80911889404769,0.00906935054381894,0.040592197097099
"103160307",13.8322543051923,-0.617451789891528,0.301704197354866,4.1312886339806,0.042097282728142,0.107069315498905
"103160308",1.38835410955652,-1.9437907074189,0.88564807551297,4.5325084534137,0.0332568359524072,0.0918413575381378
"103160310",2.90190415364104,2.11800164979055,1.36434482686424,2.41865576875958,0.119897776170976,0.214269454619451
"103160311",473.369649732015,0.585266674460777,0.209785015710376,7.90768066480166,0.00492253412564895,0.0280113725276657
"103160315",8.1829185835698,0.813367052307787,0.858834332505591,0.914724537210418,0.338863959828362,0.446096609461027
"103160323",8.09232922578089,0.460815464588846,0.610407963152316,0.578656234903974,0.446839516469413,0.547996180365172
"103160324",1130.31980628765,0.0213474924547749,0.26094301191034,0.00669969456657782,0.934764673554524,0.950273892196064
"103160326",71.1795894557174,0.0453896049165054,0.140203124683458,0.104917511763063,0.746006378986213,0.803430614235095
"103160328",605.034313348398,0.611440409176433,0.251985889610857,5.9827420440779,0.0144465248083525,0.0544137122815927
"103160330",20.8686819466892,-1.09998729469315,0.33788948378116,10.0824415938671,0.00149688853290937,0.0136486661291256
"103160343",5.45580333061077,-0.172460015812066,0.499874101756071,0.127508903893101,0.721029005080152,0.78461511959078
"103160344",15.5498786845486,-0.509188717538017,0.493167881613695,1.04761385571362,0.306057278020694,0.414431489044091
"103160351",98.6332818281525,0.299910810879461,0.230503735361217,1.70836040601381,0.191198237690652,0.296065680694186
"103160352",2526.50420511005,-0.0603838431373732,0.126641374475442,0.226830739160619,0.633883810418937,0.712586663907093
"103160361",7675.41533201846,0.795857830519305,0.357942018996946,5.03424693922022,0.0248508887345756,0.0762412136281319
"103160362",418.656645367222,-0.0249203657566808,0.0596238590382253,0.174873397268016,0.675816492142282,0.747547384312702
"103160365",3.33354366796402,-0.519098644481959,0.419487625824969,1.56627690530297,0.210748522146299,0.317324632151412
"103160377",136.209990258955,0.532985532441295,0.218374922501279,6.04539889213538,0.0139425826589627,0.0531350703745723
"103160383",471.067562992474,-0.697463273679693,0.21207745190962,10.4456242234227,0.00122940352226643,0.0120940976256175
"103160386",34.7503411837947,0.240195198480601,0.412774731625469,0.342891114369138,0.558165150823413,0.649077030346435
"103160401",49.5594691828898,-0.56225025208895,0.624817094162641,0.788475940189585,0.374561365889214,0.480042660727259
"103160402",138.791631526732,-0.359873991639771,0.168880431992774,4.46898106609427,0.0345155690019955,0.0940348614089557
"103160404",38.2955593490111,0.447518194197222,0.242754727902137,3.42575111416647,0.0641870386414146,0.141233809265094
"103160408",7.20448395079733,-1.63678712507194,0.556129736634361,7.98269846121144,0.00472264953192029,0.0273578571596011
"103160409",9.14637342113127,-0.0519493928280753,0.324031331908129,0.0354255664948937,0.850706697739368,0.88689370798424
"103160416",4.88435571397965,0.396146967630908,0.392559549397484,1.03082313413049,0.309965415534935,0.417933058882535
"103160417",745.040150211955,0.809410273434017,0.484272000798461,2.8452990467074,0.0916415414158911,0.178227205284384
"103160422",56.8213611558914,0.419125773497678,0.236872607509867,3.17894504348931,0.074592875062314,0.155771664317731
"103160423",17.6291479714373,-0.886741691839439,0.401855878214841,4.70171219787193,0.0301325844736845,0.0861320507326413
"103160424",182.407097238231,-0.129041242345642,0.715052709956585,0.0323979194537287,0.857157105384029,0.891526176412817
"103160428",83.3426032914686,-0.0101646377552647,0.195558940949805,0.00284038958471911,0.957496620583222,0.966128226972636
"103160429",42.4593903674771,-0.116962566047757,0.238582339768907,0.241130272415205,0.623390961734131,0.704132103381063
"103160432",579.830410381462,0.412604884989545,0.195312146972919,4.51643890127889,0.0335706372144119,0.0923566107998578
"103160434",17.6154767002407,-1.07181118998606,0.577675472322712,3.26138878833672,0.0709290311274351,0.150787520785613
"103160438",13.7806419600543,0.805373983256094,0.434826572672399,3.47035377126195,0.0624779472662962,0.138639403744989
"103160439",39.2492937866383,0.235454562053109,0.246971153664838,0.915310562905063,0.338709285411881,0.44603681720326
"103160450",23.9670803216442,0.241807573309086,0.232778790231175,1.08455668735155,0.297680425758706,0.406360542217246
"103160452",14.3418356095619,0.575294729455392,0.521767319295,1.23653463280243,0.266139961281315,0.37486689158971
"103160455",108.223982573372,0.201858712670526,0.207084162892096,0.95652713990205,0.328063416139538,0.43599677079502
"103160458",7.25887147391108,-1.59340489879809,0.384356189211292,16.5123982290865,4.83329923422138e-05,0.00142247098580656
"103160459",298.577393849197,-0.174693300600473,0.191710816375792,0.825058086289573,0.36370543867755,0.469665044585881
